"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.790597296862262,0.170215797442381,4.64467639749997,0.298395994930972,2.64949030916166
"ASC_TRAIN",-0.788172468357309,0.327139826050219,-2.40928314315457,0.671373009919254,-1.17397103653616
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-4.04954151241522,0.300317369696126,-13.4842067793572,0.534984529410575,-7.56945535766585
"B_COST_S",3.62812589040853,0.261232571998716,13.8884897187567,0.406243611556659,8.93091186469651
"B_TIME",-5.35925522055811,0.265763783848372,-20.1654835845345,0.386415996850542,-13.8691339495217
"B_TIME_S",2.77268648897689,0.147338852801926,18.8184340806857,0.217898247516469,12.7246846662561
"S1",3.20468233852875,0.257907411715877,12.4257085797099,0.484381986598395,6.61602294716582
"S2",2.70042236854322,0.187440004147184,14.4068625095781,0.327852550938304,8.23669774968868
