"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.693454606805288,0.167727746574392,4.13440602982001,0.199187855863075,3.48141006790082
"ASC_TRAIN",-0.993716704200813,0.27256152158762,-3.64584369214186,0.253195696898624,-3.92469823291935
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-4.71913531949796,0.297175936742538,-15.8799375589634,0.308326792346382,-15.3056284326935
"B_COST_S",3.65771336657922,0.297723620738553,12.2856001734281,0.294327667173887,12.4273514674999
"B_TIME",-5.94797413804856,0.307816109970807,-19.32314113973,0.360849228858476,-16.4832668670641
"B_TIME_S",3.12311397771333,0.174684632467334,17.8785845875558,0.194009248512905,16.0977582339617
"SIGMA_1",3.25486772639341,0.27791761158887,11.7116281612567,0.283613401364538,11.4764242829619
"SIGMA_2",2.88748404150788,0.181159601268203,15.9388959861588,0.183140719204012,15.766477570132
