"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",0,NA,NA,NA,NA
"asc_bus",0.12482817948629,0.281040122406376,0.444164976934474,0.262028166331508,0.476392218569213
"asc_air",-0.396091665376601,0.183661470064406,-2.15663995958271,0.177780903823941,-2.2279764409841
"asc_rail",-0.978692129187585,0.180545268916381,-5.42075754774204,0.177524619159554,-5.51299382486193
"asc_bus_shift_female",0.181339675109408,0.0646564916158635,2.80466308297057,0.071405530082829,2.53957466458211
"asc_air_shift_female",0.134504262613268,0.0454714477150318,2.95799384827601,0.0473514938808888,2.8405495072998
"asc_rail_shift_female",0.0981883991203884,0.0366437541529007,2.67953983946855,0.0384137081424803,2.55607708467503
"b_tt_car",-0.00642455156248404,0.00050941656737592,-12.6115874000287,0.000494420944870884,-12.9940926433887
"b_tt_bus",-0.0105068808798462,0.000961094207529179,-10.9322070589289,0.00087333898729719,-12.0307017465954
"b_tt_air",-0.00866777000637184,0.00146568215206452,-5.91381289194432,0.00143229228103914,-6.05167682680191
"b_tt_rail",-0.00383786130434209,0.000920742652053106,-4.16822365704932,0.000895061000175549,-4.2878209458231
"b_tt_shift_business",-0.00320283791710467,0.000346477894739254,-9.24398920027786,0.000348863285710009,-9.18078241046843
"b_access",-0.0105452937459227,0.00153144939036263,-6.88582581460672,0.00146168689658244,-7.21446827674151
"b_cost",-0.0382339503234241,0.00246101959502504,-15.5358171063384,0.00242941002409677,-15.7379569295385
"b_cost_shift_business",0.0166566406841866,0.00163442639150782,10.1911231798088,0.00155091618211625,10.7398716166971
"cost_income_elast",-0.613149537980608,0.0292039464403296,-20.9954342723307,0.0297597019415632,-20.6033494281832
"b_no_frills",0,NA,NA,NA,NA
"b_wifi",0.523123276249673,0.0430442342391614,12.153155596708,0.0435942123300141,11.9998331955068
"b_food",0.220073641344418,0.0308360729547648,7.13688937197862,0.0315452220828836,6.97644926278171
"mu_RP",1,NA,NA,NA,NA
"mu_SP",1.99474351332061,0.126408509508723,15.7801363300069,0.122879666002133,16.2333083920165
