"ASC_CAR","ASC_TRAIN","ASC_SM","B_COST","B_COST_S","B_TIME","B_TIME_S","SIGMA_1","SIGMA_2","logLike"
0,0,0,0,1,0,1,1,1,-4846.19911852881
0,0,0,0,1,0,1,1,1,-4846.19911852881
3.76637013137778,-15.6908592950426,0,-6.87995324781455,5.24152384825063,-18.942556899558,13.9633425148295,10.8715295332441,11.8223348015782,-4487.2926282826
1.44787969086786,-14.4564487191051,0,-8.18844558348498,6.13478570021393,-18.5248854444967,15.4806041478815,14.5111574376836,11.0173962717425,-4111.56214994518
1.54232218522363,-13.2538625328601,0,-9.78132879044586,5.45304965478938,-19.1981128723131,14.8572124752842,15.626806837411,10.9156030489142,-4082.67579946024
4.80137363794211,-9.24507899355441,0,-11.2642544331533,9.04912696821611,-21.0704319940257,13.6934926112698,17.7322059754726,9.5380996799291,-4081.71364696447
4.95672852297125,-8.91113464689225,0,-11.3819273864092,9.08303441591723,-21.1364202293094,14.0337233013342,17.6567009037006,9.33800067877841,-4076.27130341472
0.17542081929795,-7.29284229641362,0,-15.3526347403627,11.951789843096,-21.8791038152819,16.1054099952844,12.2014512073123,7.54386744521893,-4043.4321240253
-0.536860821271949,-6.87015884230664,0,-15.4065143383867,12.2674863565176,-22.3559808052741,16.1290570847286,11.6939960029346,7.42935802793421,-4037.99040703637
-0.623323174995936,-6.81578100670821,0,-15.4116250684246,12.306633007298,-22.4108674483658,16.1327038735353,11.6327679803192,7.42428149937819,-4036.75952163088
-1.29806008964591,-5.93415372279027,0,-15.7174854138016,12.5420606348056,-22.7682926008574,16.4921842616299,10.5406513652011,7.62479616936153,-4031.35453248189
-0.150495202017022,-4.60689994155535,0,-14.6593223670247,11.4454924425828,-21.9911254603886,15.6746718129754,10.2216078471292,8.68450092893722,-3994.16350683352
1.98250434648993,-3.85547138861462,0,-9.71906952925217,7.53770248664599,-19.7867874135287,13.8954952999451,9.00201060703755,8.80318429479302,-3931.77000409151
4.35123353300518,-4.31477277895769,0,-7.12377543904409,5.8900612666945,-15.0008550976521,10.2861913634393,7.78281261912447,7.35012516345943,-3910.99528480926
3.51857027969105,-4.74433146286008,0,-8.39447026489073,6.93813531369488,-12.0117706989019,8.24643317985759,8.36467049025008,6.52269430480839,-3809.85047039021
-0.44250686805092,-2.5068278713604,0,-13.0668979286118,11.164914428349,-7.62717451674787,5.60845166283928,3.88815368574706,4.66802314576587,-3739.1815507069
0.758008194491409,-2.41752664177432,0,-7.75574705908674,6.65510027178801,-7.20372208233242,5.18839833030813,5.24864497747608,4.97151671080673,-3647.30962259701
0.741937354404814,-2.26363921584336,0,-6.03293937424836,5.30809564095786,-7.17892523839072,5.18795097414702,5.35228924208946,4.65498927126147,-3626.30803302997
0.532269041575874,-1.61665472426432,0,-3.43297383720727,3.73458158934872,-4.72779549090886,3.47498324200051,3.76622914856853,2.62686287748487,-3602.50807057653
0.505451358079797,-1.62333150485232,0,-3.62751835937776,3.62526865318057,-4.98877332591485,3.25306455821102,3.69429015048556,2.57730907273336,-3588.80490241907
0.49168827323417,-1.60346564209914,0,-4.4531018909567,3.1947520865269,-5.10741225388938,3.6019206725779,3.33681942507045,2.55307026637908,-3577.81853360779
0.479633697081835,-1.53893191238664,0,-4.60306848542358,3.09383170722604,-5.21559886024511,3.67601685881291,3.21328579969667,2.97093948242507,-3576.88134493123
0.56368227821827,-1.53668634336617,0,-4.56835400293732,3.06004730398376,-5.36213609462283,3.7868250323035,3.1549033424374,3.02290099753727,-3576.28535109734
0.568233838199632,-1.40214765363872,0,-4.55246480273895,3.01476330803931,-5.51882025234629,3.91374948002663,3.19259556602437,3.03982484659682,-3575.9588306263
0.625019717927213,-1.33055860557139,0,-4.58822629104855,3.06060072466219,-5.5566763290787,3.93652309561182,3.19164297060301,3.03807464073988,-3575.70254902769
0.60768593195502,-1.29559062054116,0,-4.61168057721115,3.11464640844878,-5.58712246534496,3.95965490962438,3.13898595311609,3.02411099653911,-3575.50430592624
0.656558944187108,-1.20227172884648,0,-4.78951718071379,3.07972646671542,-5.62355455358555,4.00140072081218,2.93158233803757,2.95314384588043,-3574.94577163203
0.630725504352137,-1.34913824222844,0,-4.88007664901506,3.14653138226549,-5.69249703340755,4.04664729119742,3.07093422688673,2.95110907365038,-3574.57637235776
0.631449652072098,-1.35014864030335,0,-4.83429419275873,3.11815326758904,-5.69560989158783,4.02069448458475,3.07986762455333,2.92883485099152,-3574.41696237666
0.606485967770206,-1.36178245583418,0,-4.7502201788862,3.13252661674573,-5.60859044172128,3.96642907556569,3.12652056424548,2.87211651008709,-3574.35112718414
0.615397258554065,-1.37022784878572,0,-4.78260262162118,3.12767285216548,-5.64566571678083,3.98961251561041,3.1187331887898,2.89418781466925,-3574.31201605073
0.617137009114132,-1.36819588678361,0,-4.78115185314473,3.12724246591073,-5.64597727733779,3.98991993199386,3.1176749078688,2.89361011755502,-3574.31194280976
0.617092579075515,-1.36822589111003,0,-4.78103025601499,3.1272899272312,-5.6460224162143,3.98996746018832,3.11760757029023,2.8936529221161,-3574.31194204786
0.617092590804652,-1.36822539751466,0,-4.78103714686216,3.1272859476003,-5.64601229085774,3.98997022293746,3.11761023043536,2.89365285147502,-3574.31194204385
