"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.763755207566473,0.179447209176764,4.2561553956191,0.221015153583732,3.45566896740917
"ASC_TRAIN",-0.945065268209279,0.28749077423373,-3.28728902945922,0.296881176206781,-3.18331151972744
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-4.84859207801444,0.296634829261139,-16.3453229349074,0.303887757934614,-15.9552069848687
"B_COST_S",3.30839800928419,0.233478574358886,14.1700283135992,0.214692339135569,15.4099490582898
"B_TIME",-5.87940598925209,0.305076006641527,-19.271938340797,0.353516629201878,-16.631200638357
"B_TIME_S",3.43950752777548,0.197279728273421,17.4346728773291,0.217137847195717,15.8402027661041
"S1",3.07473600714045,0.197130197171761,15.5974886204847,0.18238582514247,16.8584154209278
"S2",3.09234795711835,0.203903538868666,15.1657395172044,0.226593936959001,13.6470904677289
