"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_access","b_cost","b_wifi","b_food","logLike"
0,0,0,0,0,0,0,0,0,0,0,-8196.02053242298
-0.339361439917754,0.00616236219916117,0.0997712327445015,0.000165885027830427,-0.000930659202557907,0.000125705613409013,0.000694074324465651,-0.000641514443613606,-0.000248677533860414,0.0369712565672493,0.00564421003960014,-7171.17170275053
-0.97172859315204,0.0496270982568745,0.22157509973451,0.000110218533488219,-0.00283504520635443,0.000748653480318195,0.00155300924178096,-0.00134249038956502,-0.00892308210208683,0.148311464450065,0.00347907321301142,-6385.43182227211
-1.55255750294348,0.540523972072896,0.147255304690553,-0.00308262903178328,-0.00500153101856815,-0.00187744146020109,-0.000448702780809427,-0.00721031016706462,-0.03632416717385,0.360536859179856,-0.0411789647969178,-5813.86507918961
-0.591567623790414,0.928195295866119,-0.666576045955673,-0.0106787630847873,-0.0151430401239826,-0.0184926527564087,-0.0066526151353419,-0.0238233455734086,-0.0595606092911678,0.516686122576548,-0.0570457599246044,-5605.41023704982
-0.0467266565846862,0.660920622711026,-1.01072433382002,-0.0115148188838987,-0.0170003571344884,-0.0190319946167601,-0.00640630518972547,-0.0227002140974109,-0.0586107888697338,0.486038586882742,-0.0392058220253304,-5598.98521523617
0.0603892842807154,0.69039964834157,-1.02476293385031,-0.0115951960647236,-0.0173609867096178,-0.0194706108082062,-0.00639317789571282,-0.0232156574019543,-0.0587889998412742,0.489037864133018,-0.0400182233212777,-5598.901853287
0.0628703571670257,0.687268382584102,-1.03241006011192,-0.0116020830156397,-0.0173695204149674,-0.0194820252874645,-0.00636404780947495,-0.0231920135062511,-0.0587568156871532,0.488516177723664,-0.0394575732540139,-5598.90060672731
0.0624160632080127,0.687318554441405,-1.03231995385419,-0.0116021673605035,-0.0173684493186594,-0.019483299599536,-0.00636496033683251,-0.0231927209590189,-0.0587559738716961,0.48851387352175,-0.0394788785775822,-5598.90060467959
0.0624078248438747,0.687314428526343,-1.03233177077438,-0.0116021843193343,-0.0173684537028681,-0.0194833622069602,-0.00636492657691352,-0.0231926766926197,-0.0587559442279655,0.488517047028873,-0.0394786737582421,-5598.90060466598
0.0624078248438747,0.687314428526343,-1.03233177077438,-0.0116021843193343,-0.0173684537028681,-0.0194833622069602,-0.00636492657691352,-0.0231926766926197,-0.0587559442279655,0.488517047028873,-0.0394786737582421,-5598.90060466598
0.0624105953455656,0.687314859887297,-1.03233131188564,-0.0116021848315516,-0.0173684611402055,-0.0194833684850238,-0.00636493070889886,-0.0231926748812896,-0.0587559394328991,0.488517047070885,-0.0394786681123435,-5598.90060466589
