"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.365255013936037,0.1027604233812,3.55443274675005,0.158317957908897,2.30709780975207
"ASC_TRAIN",0.28847733526449,0.117089723581119,2.46372889474486,0.32718966950673,0.88168228446637
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-2.68063226901,0.148517698182763,-18.0492446476733,0.34561188837648,-7.75619230461757
"B_COST_S",-0.51360613696367,0.102258850335818,-5.0226081681633,0.372362645826753,-1.37931702527066
"B_TIME",-4.04781042779596,0.184410343074012,-21.9500184226185,0.398955391084902,-10.1460226337298
"B_TIME_S",2.18030929269231,0.105544547356034,20.6577160763925,0.206819384785257,10.5420935032572
"SIGMA_V1",-1.34471891517384,0.183395860613177,-7.33232969750694,0.747728851659452,-1.79840447802632
"SIGMA_V2",-2.07520533814118,0.160386444359247,-12.9387826161478,0.605929319404607,-3.42483070497446
