"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.365240332882087,0.102761311896648,3.55425914812596,0.158320245492377,2.30697174417705
"ASC_TRAIN",0.288480870056942,0.117088839425105,2.46377768772288,0.327183137751015,0.881710689737545
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-2.68064239543941,0.148517629517208,-18.0493211759,0.345609608111196,-7.75627277866921
"B_COST_S",-0.513599909337536,0.102258681301986,-5.02255556983756,0.372360982039958,-1.37930646364667
"B_TIME",-4.04782197731336,0.184410930713128,-21.950011106501,0.398954619672419,-10.1460712013738
"B_TIME_S",2.18031990030633,0.105544886097944,20.6577502796586,0.206818909533239,10.5421690174607
"SIGMA_V1",-1.34474807061284,0.183396697956111,-7.33245519466582,0.747729041930386,-1.79844301237939
"SIGMA_V2",-2.07522663645667,0.160388227275747,-12.9387715775975,0.60593429159501,-3.42483775096145
