"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.281806086586719,0.0565925219203264,4.97956403115343,0.107432167946491,2.62310713795777
"ASC_TRAIN",-0.574071681782841,0.0815712214708405,-7.03767421195299,0.145051044934641,-3.95772179401749
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-1.6541922733208,0.0777006327188831,-21.2893024861919,0.292475091675747,-5.6558398318402
"B_TIME",-3.22072681048304,0.186850433825307,-17.2369244456463,0.220764891318447,-14.5889447875896
"B_TIME_S",3.64780426828088,0.172935860380042,21.0933941651229,0.240527707376009,15.1658380985538
