"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc",0,NA,NA,NA,NA
"mu_log_b_tt",-1.98382117361201,0.0875841815925586,-22.650450544149,0.115244980815571,-17.2139485778281
"sigma_log_b_tt",-0.441641909495419,0.0706567919835142,-6.25052308627971,0.0677528038835079,-6.51843000113714
"mu_log_b_tc",-1.01577447480238,0.132219803468915,-7.68246849679511,0.171458454272932,-5.92431839602053
"sigma_log_b_tc",-0.991298006846757,0.0818872063920217,-12.1056517925533,0.0704209346127551,-14.0767516406578
"mu_log_b_hw",-2.93784555432354,0.0855926307463265,-34.323580531489,0.091699971250403,-32.0375842463596
"sigma_log_b_hw",-0.834430026463259,0.110762740231057,-7.53349027590502,0.122419109141563,-6.81617463412792
"mu_log_b_ch",0.631155025072256,0.074143454339516,8.51261963304388,0.0822398401912403,7.67456531535774
"sigma_log_b_ch",0.857821229804825,0.0973450742263438,8.81216883979404,0.0980877185833105,8.74544991151198
