"ASC_CAR","ASC_TRAIN","ASC_SM","B_COST","B_COST_S","B_TIME","B_TIME_S","logLike"
0,0,0,0,1,0,1,-5529.09850089615
0,0,0,0,1,0,1,-5529.09850089615
0.109893246089445,-1.29290338165264,0,-0.279463265022615,1.32286698094045,-1.14989269284599,2.39422733169121,-4426.79724777429
-0.80653006464254,-0.243802372533513,0,-1.87085923085899,2.64396316794974,-1.88592839011301,3.22017271980526,-4309.91312379339
0.28448382127812,0.183659964321261,0,-3.57157265663963,4.10863070199672,-2.25509044709921,3.13348801452389,-4107.75440742098
0.136110986392776,-0.0257444481638101,0,-3.70464175466026,4.35503860299786,-2.4207393634271,2.77242375946984,-4074.27252090006
0.247446903385862,0.256008419378016,0,-3.38016615721949,4.56467576464676,-3.49329275359483,2.21395779616304,-4071.8713654395
0.203223652037063,-0.151685521219304,0,-3.06060568411048,4.81516988899346,-2.74809705821241,2.79572551002685,-4025.52524650132
0.155351269058131,-0.415434248491586,0,-3.7058202208125,3.92101264733587,-2.63913086538449,2.92098697482499,-4001.84059798065
0.181564785396452,-0.416302050523372,0,-3.87269734268186,3.45324488139082,-2.81202998697028,2.96252294194228,-3990.65922913474
0.381590169192396,-0.27026893336546,0,-3.10671964434881,2.93390565737647,-3.52960726253162,3.5647717117961,-3961.64162005823
0.2740345710594,-0.481758487890994,0,-3.20354930462887,3.48386950255789,-3.41914454806785,3.78210466978995,-3947.75503921959
0.220904384931276,-0.624364487169467,0,-3.56795110530074,4.04534837164259,-3.65904745578316,3.90356415124024,-3935.88987266641
0.207507421010809,-0.678500135502881,0,-3.78455123427587,4.54150899893337,-3.92514137726428,4.00810892466273,-3931.61174014137
0.276411375418322,-0.608814691030572,0,-3.71800407838096,5.12138063881317,-4.12290524891001,4.51539513389772,-3929.57074646572
0.272684052800184,-0.580087447143034,0,-3.72148967067344,5.11974884205728,-4.11114310138131,4.52743796012794,-3928.98633329691
0.333499684172116,-0.551473149211818,0,-3.72533348221071,5.11976496862226,-4.10609326315797,4.54207364429172,-3928.90183827413
0.405190931205906,-0.42976036416463,0,-3.70765802366163,5.13733872578503,-4.23996106203486,4.5161415601883,-3927.45301157088
0.37481076590126,-0.423208549830175,0,-3.70974893886451,5.13543690431373,-4.27939655283375,4.48506058780258,-3926.06962509619
0.324692746140833,-0.418007845273143,0,-3.7371863044918,5.11423037261806,-4.27810213318845,4.50964481153159,-3926.03710388477
0.290651681586662,-0.542630228212455,0,-3.89568865327421,4.99818491088868,-4.34830059625296,4.56517521445242,-3925.71094768342
0.29071032635818,-0.555597256258867,0,-3.93924516030084,4.96713883504327,-4.363166347079,4.57348321105099,-3925.50061679278
0.303021906033436,-0.543568291775134,0,-3.94652114111442,4.95200713392625,-4.40511990527359,4.61224810969937,-3925.36145950383
0.316134616226965,-0.529510192272591,0,-4.06856807420093,4.97589625975667,-4.42268670348293,4.60987827165708,-3924.73722763449
0.31974759207553,-0.522375077549707,0,-3.99745617897084,4.8026373149122,-4.38229502419238,4.55369057332346,-3924.52477966426
0.368259785205241,-0.394548774663463,0,-3.99151323120839,4.88210175137324,-4.34289211075655,4.47106929422122,-3924.49039830662
0.338674851749828,-0.445919513478632,0,-4.04980823836605,4.8708088859927,-4.38489651104487,4.55047421412796,-3924.00560277214
0.331466122443719,-0.45289830459171,0,-4.00734952884066,4.84270573010336,-4.3511850547229,4.5258945368314,-3923.97171031841
0.331759751348643,-0.446994428119295,0,-4.01528102309985,4.84354144859661,-4.34748230789242,4.52644854385219,-3923.96112966553
0.332231055968997,-0.4452955867447,0,-4.01616075451928,4.84524875988904,-4.34790719320372,4.52757736211657,-3923.96085077068
0.332192173628333,-0.445365362945076,0,-4.01617076993873,4.84511482733427,-4.34774954328511,4.52741149278185,-3923.96084994783
0.332192175397736,-0.445365366341266,0,-4.0161682587767,4.8451166746744,-4.34775314550195,4.52741033877429,-3923.96084994695
