"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.282130011369203,0.056788999476172,4.96803983115746,0.108005857975043,2.61217323447766
"ASC_TRAIN",-0.572657016294084,0.082339231357509,-6.95485015894382,0.147006414284406,-3.89545598456808
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-1.65211983019024,0.0776076818941972,-21.2880966144896,0.292354751227818,-5.65107911963717
"B_TIME",-3.22163174806643,0.191079729820927,-16.8601439361759,0.228856496632438,-14.0770823440535
"B_TIME_S",3.6476279334671,0.175573584869916,20.7754938544409,0.246776636359461,14.7810910598274
