"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_CAR",0.28065982179613,0.0550270657898572,5.10039591912717,0.104177514854709,2.69405372346952
"ASC_TRAIN",-0.572248853995744,0.0751782550682162,-7.61189327254922,0.132822773956339,-4.30836397215927
"ASC_SM",0,NA,NA,NA,NA
"B_COST",-1.65030014150553,0.0772026812522943,-21.3762024159814,0.289793336950286,-5.69474839854115
"B_TIME",-3.16476896874849,0.152863464308148,-20.7032398688075,0.188794281560874,-16.7630552291281
"B_TIME_S",3.7181686948821,0.163098899543092,22.7970188964992,0.224021077162372,16.5974056636963
