"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_access","b_cost","logLike"
0,0,0,0,0,0,0,0,0,-1170.8600760604
-0.412870020709577,0.0356218003813196,0.0740318019108791,0.000507143498200424,-0.00117254761524464,0.000212468699140636,0.000432236502816782,-0.00160149371725475,-0.00414846170776654,-1076.74158410982
-0.63751926827114,0.156006501151088,0.0993734382988753,0.000318904251039042,-0.00200580146249635,0.000281679989597629,0.0001598790970799,-0.00111027727872505,-0.0149447687236701,-1050.55928641666
-0.796934214178453,0.591625458800594,0.15771871235642,-0.00164735333276158,-0.0036783774318038,-0.00579691711705956,-0.00295809313204451,-0.00460899813224243,-0.0266296398911265,-1033.89999224995
0.262792830889738,1.53463062220061,0.833508934605513,-0.00351551727285409,-0.008191971913434,-0.0191757036876528,-0.0102763342590342,-0.0116581534924011,-0.0334463906578222,-1025.88314731398
0.462818616254094,1.62729557685994,0.94763511612352,-0.00364918127382554,-0.00881682391469642,-0.0206828512608976,-0.0112711371736329,-0.0114260369535145,-0.0339852437638405,-1025.75665999262
0.476140733599711,1.62962189214442,0.945218727216692,-0.0036455206146407,-0.00884944497982514,-0.0206847677312081,-0.0112420721495214,-0.0114766114677807,-0.0339471313276037,-1025.75638309989
0.474659533607718,1.62911072375352,0.944553783179188,-0.00364606484474535,-0.00884609562446899,-0.0206851390941425,-0.0112394145763567,-0.0114663164031704,-0.0339472279314433,-1025.75637946604
0.474676372720879,1.62907242503152,0.94453448070854,-0.00364607571819775,-0.00884617022758535,-0.0206849777667327,-0.0112393615560645,-0.011465750169197,-0.0339471774420038,-1025.75637946033
0.474676372720879,1.62907242503152,0.94453448070854,-0.00364607571819775,-0.00884617022758535,-0.0206849777667327,-0.0112393615560645,-0.011465750169197,-0.0339471774420038,-1025.75637946033
0.474676661973561,1.62907327384263,0.944533157284076,-0.003646077036958,-0.00884617173115839,-0.0206849898018159,-0.0112393540245655,-0.011465759359973,-0.033947175059394,-1025.75637946033
